vendor,tag,freq
V02,803,52
V03,PA,50
V02,"2""",42
V02,SP,33
V02,IAS,31
V02,MCS,20
V01,"2""",19
V02,321,19
V04,01.00-GTFDOOJ,19
V02,324,18
V02,LSH,17
V04,LJ,16
V04,00.38,16
V01,"8""",14
V04,88,14
V04,50,14
V02,NV,13
V02,2561,13
V04,-0,13
V02,LAH,11
V02,FC,11
V01,HV,10
V01,"6""",10
V01,B43,10
V01,PG,10
V01,NOTE,9
V01,654,9
V02,323,9
V02,8661,9
V01,RO,8
V01,TG,8
V02,866,8
V03,ZS,8
V04,20,8
V01,"3""",7
V02,114,7
V04,00.75-GBFDOOJ,7
V01,NC,6
V01,"4""",6
V01,NOTE-2,6
V01,FROM,6
V02,IL,6
V02,101,6
V03,PSS,6
V04,28,6
V04,80,6
V04,5-674,6
V04,8-674,6
V01,HV7,5
V01,MCC,5
V01,12,5
V01,FH,5
V01,154,5
V01,41,5
V01,HCV,5
V02,IF,5
V02,V1,5
V02,HV,5
V03,"1""",5
V03,LJ,5
V03,24182,5
V01,77,4
V01,FL,4
V01,"10""",4
V01,1D,4
V01,N.0,4
V01,27,4
V01,"12""",4
V01,TANK,4
V02,NC,4
V02,TS,4
V02,XV,4
V02,PI,4
V02,IH,4
V02,103,4
V02,UOZ,4
V02,238,4
V02,LJ,4
V02,HI,4
V03,PG,4
V03,"12""",4
V03,11,4
V03,TYPE4-1,4
V03,ROV,4
V03,FC,4
V03,24181,4
V04,0-,4
V04,25,4
V04,CSO,4
V04,00.75-GBFDOC,4
V04,41,4
V01,IL,3
V01,212,3
V01,150A,3
V01,UOZ,3
V01,M7,3
V01,SDI,3
V01,PT,3
V01,MUD,3
V01,MIN,3
V01,N2,3
V01,UUD,3
V01,N4,3
V01,NOTE-6,3
V01,15A,3
V01,EJ,3
V01,WE,3
V01,011,3
V01,37,3
V01,MW,3
V02,LS,3
V02,106,3
V02,IOF,3
V02,PIT,3
V02,322,3
V02,8EJ8,3
V02,32,3
V02,N1,3
V02,JJ,3
V02,176,3
V02,28,3
V02,IHL,3
V02,25,3
V02,020,3
V03,PI,3
