vendor,mask,slot_index,allowed_chars
V01,"#""",0,1234568
V01,"#""",1,""""
V01,"#""-AA-####-A##",0,24
V01,"#""-AA-####-A##",1,""""
V01,"#""-AA-####-A##",2,-
V01,"#""-AA-####-A##",3,CL
V01,"#""-AA-####-A##",4,DH
V01,"#""-AA-####-A##",5,-
V01,"#""-AA-####-A##",6,2
V01,"#""-AA-####-A##",7,9
V01,"#""-AA-####-A##",8,8
V01,"#""-AA-####-A##",9,23
V01,"#""-AA-####-A##",10,-
V01,"#""-AA-####-A##",11,A
V01,"#""-AA-####-A##",12,1
V01,"#""-AA-####-A##",13,3
V01,"#""-AA-AA###-#",0,26
V01,"#""-AA-AA###-#",1,""""
V01,"#""-AA-AA###-#",2,-
V01,"#""-AA-AA###-#",3,MT
V01,"#""-AA-AA###-#",4,CL
V01,"#""-AA-AA###-#",5,-
V01,"#""-AA-AA###-#",6,D
V01,"#""-AA-AA###-#",7,A
V01,"#""-AA-AA###-#",8,1
V01,"#""-AA-AA###-#",9,02
V01,"#""-AA-AA###-#",10,5
V01,"#""-AA-AA###-#",11,-
V01,"#""-AA-AA###-#",12,25
V01,"#""-AA-AA###-##",0,268
V01,"#""-AA-AA###-##",1,""""
V01,"#""-AA-AA###-##",2,-
V01,"#""-AA-AA###-##",3,M
V01,"#""-AA-AA###-##",4,L
V01,"#""-AA-AA###-##",5,-
V01,"#""-AA-AA###-##",6,D
V01,"#""-AA-AA###-##",7,A
V01,"#""-AA-AA###-##",8,1
V01,"#""-AA-AA###-##",9,2
V01,"#""-AA-AA###-##",10,5
V01,"#""-AA-AA###-##",11,-
V01,"#""-AA-AA###-##",12,167
V01,"#""-AA-AA###-##",13,238
V01,"#""-AA-AA###-###",0,234568
V01,"#""-AA-AA###-###",1,""""
V01,"#""-AA-AA###-###",2,-
V01,"#""-AA-AA###-###",3,BDMT
V01,"#""-AA-AA###-###",4,ACFHLOW
V01,"#""-AA-AA###-###",5,-
V01,"#""-AA-AA###-###",6,D
V01,"#""-AA-AA###-###",7,AL
V01,"#""-AA-AA###-###",8,126
V01,"#""-AA-AA###-###",9,02569
V01,"#""-AA-AA###-###",10,45
V01,"#""-AA-AA###-###",11,-
V01,"#""-AA-AA###-###",12,01245678
V01,"#""-AA-AA###-###",13,012345678
V01,"#""-AA-AA###-###",14,0123456789
V01,"#""-AA-AA###--",0,26
V01,"#""-AA-AA###--",1,""""
V01,"#""-AA-AA###--",2,-
V01,"#""-AA-AA###--",3,MT
V01,"#""-AA-AA###--",4,CL
V01,"#""-AA-AA###--",5,-
V01,"#""-AA-AA###--",6,D
V01,"#""-AA-AA###--",7,A
V01,"#""-AA-AA###--",8,1
V01,"#""-AA-AA###--",9,02
V01,"#""-AA-AA###--",10,5
V01,"#""-AA-AA###--",11,-
V01,"#""-AA-AA###--",12,-
V01,##,0,01234678
V01,##,1,0123456789
V01,"##""",0,1
V01,"##""",1,02
V01,"##""",2,""""
V01,"##""-AA-AA###-##",0,1
V01,"##""-AA-AA###-##",1,0
V01,"##""-AA-AA###-##",2,""""
V01,"##""-AA-AA###-##",3,-
V01,"##""-AA-AA###-##",4,MT
V01,"##""-AA-AA###-##",5,CL
V01,"##""-AA-AA###-##",6,-
V01,"##""-AA-AA###-##",7,D
V01,"##""-AA-AA###-##",8,A
V01,"##""-AA-AA###-##",9,1
V01,"##""-AA-AA###-##",10,02
V01,"##""-AA-AA###-##",11,5
V01,"##""-AA-AA###-##",12,-
V01,"##""-AA-AA###-##",13,15
V01,"##""-AA-AA###-##",14,03
V01,"##""-AA-AA###-###",0,1
V01,"##""-AA-AA###-###",1,024
V01,"##""-AA-AA###-###",2,""""
V01,"##""-AA-AA###-###",3,-
V01,"##""-AA-AA###-###",4,M
V01,"##""-AA-AA###-###",5,L
V01,"##""-AA-AA###-###",6,-
V01,"##""-AA-AA###-###",7,D
V01,"##""-AA-AA###-###",8,A
V01,"##""-AA-AA###-###",9,1
V01,"##""-AA-AA###-###",10,2
V01,"##""-AA-AA###-###",11,5
V01,"##""-AA-AA###-###",12,-
V01,"##""-AA-AA###-###",13,01235
V01,"##""-AA-AA###-###",14,02368
V01,"##""-AA-AA###-###",15,124789
V01,###,0,0123456789
V01,###,1,012345679
V01,###,2,0123456789
V01,####,0,0128
V01,####,1,2347
V01,####,2,238
V01,####,3,1234
V01,#####,0,34
V01,#####,1,129
V01,#####,2,157
V01,#####,3,4
V01,#####,4,129
V01,###-AA-AA###-###,0,26
